"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY;MYCOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA","IMMUNOL ALLERGY CLIN","W B SAUNDERS CO-ELSEVIER INC","0889-8561","1557-8607","IMMUNOLOGY","SCIE","2,177","3.1","Q3","0.66","2.53"%,
"JOURNAL OF NEUROIMMUNOLOGY","J NEUROIMMUNOL","ELSEVIER","0165-5728","1872-8421","IMMUNOLOGY","SCIE","9,975","3.1","Q3","0.63","17.55"%,
"IMMUNOBIOLOGY","IMMUNOBIOLOGY","ELSEVIER GMBH","0171-2985","1878-3279","IMMUNOLOGY","SCIE","5,155","3.1","Q3","0.6","67.92"%,
"Journal of Immunotherapy and Precision Oncology","J IMMUNOTHER PRECIS","Innovative Healthcare Institute","2666-2345","2590-017X","IMMUNOLOGY","ESCI","388","3.1","Q3","0.54","96.39"%,
"FUNGAL GENETICS AND BIOLOGY","FUNGAL GENET BIOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","1087-1845","1096-0937","MYCOLOGY","SCIE","5,633","3","Q3","0.72","36.91"%,
"Allergy Asthma and Clinical Immunology","ALLERGY ASTHMA CL IM","BMC","1710-1492","1710-1492","IMMUNOLOGY","SCIE","3,001","3","Q3","0.56","100"%,
"Rheumatology and Immunology Research","RHEUMATOL IMMUNOL RE","WALTER DE GRUYTER GMBH","N/A","2719-4523","IMMUNOLOGY","ESCI","345","3","Q3","0.53","100"%,
"Fungal Biology","FUNGAL BIOL-UK","ELSEVIER SCI LTD","1878-6146","1878-6162","MYCOLOGY","SCIE","4,224","2.9","Q3","0.89","28.96"%,
"AIDS","AIDS","LIPPINCOTT WILLIAMS & WILKINS","0269-9370","1473-5571","IMMUNOLOGY","SCIE","13,944","2.9","Q3","0.81","24.79"%,
"MICROBES AND INFECTION","MICROBES INFECT","ELSEVIER","1286-4579","1769-714X","IMMUNOLOGY","SCIE","6,701","2.9","Q3","0.79","34.32"%,
"BMC IMMUNOLOGY","BMC IMMUNOL","BMC","N/A","1471-2172","IMMUNOLOGY","SCIE","2,983","2.9","Q3","0.68","100"%,
"JOURNAL OF IMMUNOTHERAPY","J IMMUNOTHER","LIPPINCOTT WILLIAMS & WILKINS","1524-9557","1537-4513","IMMUNOLOGY","SCIE","3,016","2.9","Q3","0.67","25.38"%,
"Tuberculosis","TUBERCULOSIS","CHURCHILL LIVINGSTONE","1472-9792","1873-281X","IMMUNOLOGY","SCIE","3,797","2.9","Q3","0.52","27.39"%,
"INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY","INT J IMMUNOPATH PH","SAGE PUBLICATIONS INC","0394-6320","2058-7384","IMMUNOLOGY","SCIE","3,205","2.8","Q3","0.8","99.02"%,
