"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Pharmacoepidemiology","PHARMACOEPIDEM-BASEL","MDPI","N/A","2813-0618","PHARMACOLOGY & PHARMACY","ESCI","105","1.6","Q4","0.29","100"%,
"Psychiatry and Clinical Psychopharmacology","PSYCHIAT CLIN PSYCH","AVES","2475-0573","2475-0581","PHARMACOLOGY & PHARMACY","SCIE","794","1.6","Q4","0.26","97.4"%,
"PHARMACEUTICAL STATISTICS","PHARM STAT","WILEY","1539-1604","1539-1612","PHARMACOLOGY & PHARMACY","SCIE","2,695","1.5","Q4","0.52","26.85"%,
"European Journal of Hospital Pharmacy","EUR J HOSP PHARM","BMJ PUBLISHING GROUP","2047-9956","2047-9964","PHARMACOLOGY & PHARMACY","SCIE","1,539","1.5","Q4","0.39","14.96"%,
"XENOBIOTICA","XENOBIOTICA","TAYLOR & FRANCIS LTD","0049-8254","1366-5928","PHARMACOLOGY & PHARMACY","SCIE","3,208","1.5","Q4","0.39","4.44"%,
"PHARMACIA","PHARMACIA","PENSOFT PUBLISHERS","0428-0296","2603-557X","PHARMACOLOGY & PHARMACY","ESCI","1,213","1.5","Q4","0.35","98.42"%,
"CHEMICAL & PHARMACEUTICAL BULLETIN","CHEM PHARM BULL","PHARMACEUTICAL SOC JAPAN","0009-2363","N/A","PHARMACOLOGY & PHARMACY","SCIE","10,698","1.5","Q4","0.3","97.66"%,
"Journal of Anaesthesiology Clinical Pharmacology","J ANAESTH CLIN PHARM","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0970-9185","2231-2730","PHARMACOLOGY & PHARMACY","ESCI","2,191","1.5","Q4","0.3","100"%,
"JOURNAL OF PHARMACY TECHNOLOGY","J PHARM TECHNOL","SAGE PUBLICATIONS INC","8755-1225","1549-4810","PHARMACOLOGY & PHARMACY","ESCI","659","1.5","Q4","0.27","8.66"%,
"Recent Advances in Inflammation & Allergy Drug Discovery","RECENT ADV INFLAMM A","BENTHAM SCIENCE PUBL LTD","2772-2708","2772-2716","PHARMACOLOGY & PHARMACY","ESCI","136","1.5","Q4","0.24","4.94"%,
"Expert Review of Precision Medicine and Drug Development","EXPERT REV PRECIS ME","TAYLOR & FRANCIS LTD","2380-8993","2380-8993","PHARMACOLOGY & PHARMACY","ESCI","278","1.5","Q4","0.15","20"%,
"JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS","J VET PHARMACOL THER","WILEY","0140-7783","1365-2885","PHARMACOLOGY & PHARMACY","SCIE","2,689","1.4","Q4","0.55","38.42"%,
"BEHAVIOURAL PHARMACOLOGY","BEHAV PHARMACOL","LIPPINCOTT WILLIAMS & WILKINS","0955-8810","1473-5849","PHARMACOLOGY & PHARMACY","SCIE","2,344","1.4","Q4","0.47","3.36"%,
"Communicable Diseases Intelligence","COMMUN DIS INTELL","AUSTRALIAN GOVERNMENT, DEPT HEALTH & AGEING","N/A","2209-6051","INFECTIOUS DISEASES","ESCI","784","1.4","Q4","0.4","99.34"%,
"JOURNAL OF VECTOR BORNE DISEASES","J VECTOR DIS","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0972-9062","0972-9062","INFECTIOUS DISEASES","SCIE","1,178","1.4","Q4","0.37","99.53"%,
"CHEMOTHERAPY","CHEMOTHERAPY","KARGER","0009-3157","1421-9794","PHARMACOLOGY & PHARMACY","SCIE","1,311","1.4","Q4","0.34","11.11"%,
"International Journal of One Health","INT J ONE HEALTH","VETERINARY WORLD","2455-5673","2455-8931","INFECTIOUS DISEASES","ESCI","205","1.4","Q4","0.32","93.15"%,
"Advances in Traditional Medicine","ADV TRADIT MED","SPRINGER","2662-4052","2662-4060","PHARMACOLOGY & PHARMACY","ESCI","799","1.4","Q4","0.31","12.7"%,
"Journal of the Association of Medical Microbiology and Infectious Disease Canada (JAMMI)","JAMMI-J ASSOC MED M","UNIV TORONTO PRESS INC","N/A","2371-0888","INFECTIOUS DISEASES","ESCI","292","1.4","Q4","0.29","1.98"%,
"Zoonotic Diseases","ZOONOTIC DIS-BASEL","MDPI","N/A","2813-0227","INFECTIOUS DISEASES","ESCI","142","1.4","Q4","0.29","100"%,
"Journal of Biopharmaceutical Statistics","J BIOPHARM STAT","TAYLOR & FRANCIS INC","1054-3406","1520-5711","PHARMACOLOGY & PHARMACY","SCIE","1,845","1.3","Q4","0.59","4.09"%,
"REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO","REV INST MED TROP SP","INST MEDICINA TROPICAL SAO PAULO","0036-4665","1678-9946","INFECTIOUS DISEASES","SCIE","2,214","1.3","Q4","0.42","99.06"%,
"International Journal of Mycobacteriology","INT J MYCOBACT","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2212-5531","2212-554X","INFECTIOUS DISEASES","ESCI","1,057","1.3","Q4","0.37","99.53"%,
"Journal of Pharmaceutical Health Care and Sciences","J PHARM HEALTH CARE","BMC","2055-0294","2055-0294","PHARMACOLOGY & PHARMACY","ESCI","622","1.3","Q4","0.37","100"%,
"Journal of Infection in Developing Countries","J INFECT DEV COUNTR","J INFECTION DEVELOPING COUNTRIES","1972-2680","1972-2680","INFECTIOUS DISEASES","SCIE","3,954","1.3","Q4","0.36","99.49"%,
"Drug Discoveries and Therapeutics","DRUG DISCOV THER","INT RESEARCH & COOPERATION ASSOC BIO & SOCIO-SCIENCES ADVANCEMENT","1881-7831","1881-784X","PHARMACOLOGY & PHARMACY","ESCI","1,084","1.3","Q4","0.34","99.38"%,
"Annales Pharmaceutiques Francaises","ANN PHARM FR","MASSON EDITEUR","0003-4509","0003-4509","PHARMACOLOGY & PHARMACY","ESCI","888","1.3","Q4","0.32","1.62"%,
"LEPROSY REVIEW","LEPROSY REV","LEPRA","0305-7518","2162-8807","INFECTIOUS DISEASES","SCIE","841","1.3","Q4","0.32","99.04"%,
"Jundishapur Journal of Natural Pharmaceutical Products","JUNDISHAPUR J NAT PH","BRIEFLANDS","1735-7780","2228-7876","PHARMACOLOGY & PHARMACY","ESCI","749","1.3","Q4","0.31","97.27"%,
"INTERNATIONAL JOURNAL OF TOXICOLOGY","INT J TOXICOL","SAGE PUBLICATIONS INC","1091-5818","1092-874X","PHARMACOLOGY & PHARMACY","SCIE","2,594","1.3","Q4","0.3","9.31"%,
"Journal of Global Infectious Diseases","J GLOB INFECT DIS","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0974-777X","0974-8245","INFECTIOUS DISEASES","ESCI","1,071","1.3","Q4","0.29","100"%,
"JOURNAL OF ONCOLOGY PHARMACY PRACTICE","J ONCOL PHARM PRACT","SAGE PUBLICATIONS LTD","1078-1552","1477-092X","PHARMACOLOGY & PHARMACY","SCIE","3,086","1.3","Q4","0.23","11.49"%,
"CANADIAN JOURNAL OF HOSPITAL PHARMACY","CAN J HOSP PHARM","CANADIAN SOC HEALTHCARE SYSTEM PHARMACY-CSHP","0008-4123","0008-4123","PHARMACOLOGY & PHARMACY","ESCI","911","1.3","Q4","0.19","0"%,
"Personalized Medicine","PERS MED","TAYLOR & FRANCIS LTD","1741-0541","1744-828X","PHARMACOLOGY & PHARMACY","SCIE","927","1.2","Q4","0.35","8.94"%,
"Southern African Journal of Infectious Diseases","SOUTH AFR J INFECT D","AOSIS","2312-0053","2313-1810","INFECTIOUS DISEASES","ESCI","380","1.2","Q4","0.33","98.9"%,
"Current Drug Safety","CURR DRUG SAF","BENTHAM SCIENCE PUBL","1574-8863","2212-3911","PHARMACOLOGY & PHARMACY","ESCI","954","1.2","Q4","0.3","2.9"%,
"Reviews on Recent Clinical Trials","REV RECENT CLIN TRIA","BENTHAM SCIENCE PUBL LTD","1574-8871","1876-1038","PHARMACOLOGY & PHARMACY","ESCI","665","1.2","Q4","0.26","4"%,
"INDIAN JOURNAL OF PHARMACOLOGY","INDIAN J PHARMACOL","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0253-7613","1998-3751","PHARMACOLOGY & PHARMACY","SCIE","2,418","1.2","Q4","0.25","89.6"%,
"CLINICAL NEUROPHARMACOLOGY","CLIN NEUROPHARMACOL","LIPPINCOTT WILLIAMS & WILKINS","0362-5664","1537-162X","PHARMACOLOGY & PHARMACY","SCIE","1,874","1.2","Q4","0.23","6.78"%,
"JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS","J CLIN PHARM THER","WILEY","0269-4727","1365-2710","PHARMACOLOGY & PHARMACY","SCIE","4,256","1.1","Q4","0.41","100"%,
"JAPANESE JOURNAL OF INFECTIOUS DISEASES","JPN J INFECT DIS","NATL INST INFECTIOUS DISEASES","1344-6304","1884-2836","INFECTIOUS DISEASES","SCIE","1,767","1.1","Q4","0.37","89.94"%,
"Journal of Clinical Virology Plus","J CLIN VIROL PLUS","ELSEVIER","2667-0380","2667-0380","INFECTIOUS DISEASES","ESCI","182","1.1","Q4","0.35","100"%,
"International Journal of Pharmaceutical Investigation","INT J PHARM INVESTIG","INPHARM ASSOC, PHCOG NET","2230-973X","2230-9713","PHARMACOLOGY & PHARMACY","ESCI","1,375","1.1","Q4","0.2","65.66"%,
"Infectious Diseases and Clinical Microbiology","INFECT DIS CLIN MICR","DOC DESIGN INFORMATICS CO LTD","2667-646X","2667-646X","INFECTIOUS DISEASES","ESCI","165","1.1","Q4","0.19","96.24"%,
"MEDICAL LETTER ON DRUGS AND THERAPEUTICS","MED LETT DRUGS THER","MED LETTER INC","0025-732X","1523-2859","PHARMACOLOGY & PHARMACY","SCIE","398","1.1","Q4","0.14","0"%,
"AIDS RESEARCH AND HUMAN RETROVIRUSES","AIDS RES HUM RETROV","SAGE PUBLICATIONS INC","0889-2229","1931-8405","INFECTIOUS DISEASES","SCIE","3,024","1","Q4","0.31","8.98"%,
"Journal of Pharmacy & Pharmacognosy Research","J PHARM PHARMACOGN R","JOURNAL PHARMACY & PHARMACOGNOSY RESEARCH-JPPRES","0719-4250","0719-4250","PHARMACOLOGY & PHARMACY","ESCI","691","1","Q4","0.3","97.14"%,
"JOURNAL OF HERBS SPICES AND MEDICINAL PLANTS","J HERBS SPICES MED P","TAYLOR & FRANCIS LTD","1049-6475","1540-3580","PHARMACOLOGY & PHARMACY","ESCI","568","1","Q4","0.28","0.95"%,
"JOURNAL OF PHARMACY PRACTICE","J PHARM PRACT","SAGE PUBLICATIONS INC","0897-1900","1531-1937","PHARMACOLOGY & PHARMACY","ESCI","1,861","1","Q4","0.24","6.17"%,
"Journal of Infection Prevention","J INFECT PREVENT","SAGE PUBLICATIONS LTD","1757-1774","1757-1782","INFECTIOUS DISEASES","ESCI","471","1","Q4","0.23","25.56"%,
"JOURNAL OF PHARMACY PRACTICE AND RESEARCH","J PHARM PRACT RES","WILEY","1445-937X","2055-2335","PHARMACOLOGY & PHARMACY","ESCI","550","1","Q4","0.23","58.62"%,
"Research Journal of Pharmacognosy","RES J PHARMACOGN","IRANIAN SOC PHARMACOGNOSY","2345-4458","2345-5977","PHARMACOLOGY & PHARMACY","ESCI","540","1","Q4","0.2","0"%,
"Journal of Pharmacology & Pharmacotherapeutics","J PHARMACOL PHARMACO","SAGE PUBLICATIONS INC","0976-500X","0976-5018","PHARMACOLOGY & PHARMACY","ESCI","1,621","1","Q4","0.19","97.56"%,
"Indian Journal of Pharmaceutical Education and Research","INDIAN J PHARM EDUC","ASSOC PHARMACEUTICAL TEACHERS INDIA","0019-5464","0019-5464","PHARMACOLOGY & PHARMACY","SCIE","1,874","0.9","Q4","0.28","83.94"%,
"IDCases","IDCASES","ELSEVIER SCI LTD","2214-2509","2214-2509","INFECTIOUS DISEASES","ESCI","1,742","0.9","Q4","0.25","100"%,
"INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS","INT J CLIN PHARM TH","DUSTRI-VERLAG DR KARL FEISTLE","0946-1965","0946-1965","PHARMACOLOGY & PHARMACY","SCIE","1,579","0.9","Q4","0.25","0"%,
"Brazilian Journal of Pharmaceutical Sciences","BRAZ J PHARM SCI","UNIV SAO PAULO, CONJUNTO QUIMICAS","1984-8250","2175-9790","PHARMACOLOGY & PHARMACY","SCIE","2,434","0.9","Q4","0.24","97.04"%,
"Pharmacognosy Research","PHARMACOGN RES","PHCOG NET","0974-8490","0976-4836","PHARMACOLOGY & PHARMACY","ESCI","1,624","0.9","Q4","0.23","98.26"%,
"Advances in Pharmacology and Pharmacy","ADV PHARMACOL PHARM","HORIZON RESEARCH PUBLISHING","2332-0036","2332-0044","PHARMACOLOGY & PHARMACY","ESCI","138","0.9","Q4","0.21","100"%,
"DISSOLUTION TECHNOLOGIES","DISSOLUT TECHNOL","DISSOLUTION TECHNOLOGIES, INC","1521-298X","2376-869X","PHARMACOLOGY & PHARMACY","SCIE","495","0.9","Q4","0.21","0"%,
"HOSPITAL PHARMACY","HOSP PHARM","SAGE PUBLICATIONS INC","0018-5787","1945-1253","PHARMACOLOGY & PHARMACY","ESCI","1,240","0.9","Q4","0.18","7.08"%,
"Egyptian Pharmaceutical Journal","EGYPT PHARM J","National Information & Documentation Centre-NIDOC","1687-4315","2090-9853","PHARMACOLOGY & PHARMACY","ESCI","371","0.9","Q4","0.17","22.34"%,
"PHARMACEUTICAL CHEMISTRY JOURNAL","PHARM CHEM J+","SPRINGER","0091-150X","1573-9031","PHARMACOLOGY & PHARMACY","SCIE","2,481","0.8","Q4","0.21","0.15"%,
"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","B LATINOAM CARIBE PL","MS-EDITIONS","0717-7917","0717-7917","PHARMACOLOGY & PHARMACY","SCIE","568","0.8","Q4","0.2","96.37"%,
"Case Reports in Infectious Diseases","CASE REP INFECT DIS","WILEY","2090-6625","2090-6633","INFECTIOUS DISEASES","ESCI","676","0.8","Q4","0.2","100"%,
"CURRENT HIV RESEARCH","CURR HIV RES","BENTHAM SCIENCE PUBL LTD","1570-162X","1873-4251","INFECTIOUS DISEASES","SCIE","840","0.8","Q4","0.2","12.5"%,
"Journal of Research in Pharmacy","J RES PHARM","MARMARA UNIV, FAC PHARMACY","2630-6344","2630-6344","PHARMACOLOGY & PHARMACY","ESCI","875","0.8","Q4","0.18","94.39"%,
"Journal of Medicinal Plants for Economic Development","J MED PLANTS EC DEV","AOSIS","2519-559X","2616-4809","PHARMACOLOGY & PHARMACY","ESCI","93","0.8","Q4","0.1","100"%,
"Pharmacy Practice-Granada","PHARM PRACT-GRANADA","CENTRO INVESTIGACIONES & PUBLICACIONES FARMACEUTICAS","1885-642X","1886-3655","PHARMACOLOGY & PHARMACY","ESCI","1,481","0.7","Q4","0.25","92.11"%,
"Bangladesh Journal of Pharmacology","BANGL J PHARMACOL","BANGLADESH PHARMACOLOGICAL SOC","1991-007X","1991-0088","PHARMACOLOGY & PHARMACY","SCIE","625","0.7","Q4","0.2","98"%,
"PHARMAZIE","PHARMAZIE","AVOXA-MEDIENGRUPPE DEUTSCHER APOTHEKER GMBH","0031-7144","0031-7144","PHARMACOLOGY & PHARMACY","SCIE","2,878","0.7","Q4","0.2","0"%,
"Journal of Research in Pharmacy Practice","J RES PHARM PRACT","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2319-9644","2279-042X","PHARMACOLOGY & PHARMACY","ESCI","499","0.7","Q4","0.18","100"%,
"Indonesian Journal of Pharmacy","INDONES J PHARM","UNIV GADJAH MADA, FAC FARMASI","2338-9486","2338-9427","PHARMACOLOGY & PHARMACY","ESCI","327","0.7","Q4","0.13","31.58"%,
"Journal of Young Pharmacists","J YOUNG PHARM","INPHARM ASSOC, PHCOG NET","0975-1483","0975-1505","PHARMACOLOGY & PHARMACY","ESCI","1,004","0.7","Q4","0.13","100"%,
"Current Drug Therapy","CURR DRUG THER","BENTHAM SCIENCE PUBL LTD","1574-8855","2212-3903","PHARMACOLOGY & PHARMACY","ESCI","362","0.7","Q4","0.12","3.31"%,
"International Journal of Pharmacology","INT J PHARMACOL","IMR PRESS","1811-7775","1812-5700","PHARMACOLOGY & PHARMACY","SCIE","959","0.7","Q4","0.12","40.67"%,
"Ars Pharmaceutica","ARS PHARM","UNIV GRANADA, EDITORIAL","0004-2927","2340-9894","PHARMACOLOGY & PHARMACY","ESCI","213","0.7","Q4","0.1","95.88"%,
"Indian Journal of Sexually Transmitted Diseases and AIDS","INDIAN J SEX TRANSM","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2589-0557","2589-0565","INFECTIOUS DISEASES","ESCI","489","0.6","Q4","0.17","77.46"%,
"Pakistan Journal of Pharmaceutical Sciences","PAK J PHARM SCI","UNIV KARACHI","1011-601X","1011-601X","PHARMACOLOGY & PHARMACY","SCIE","2,955","0.6","Q4","0.17","55"%,
"DRUGS & THERAPY PERSPECTIVES","DRUGS THER PERSPECT","SPRINGERNATURE","1172-0360","1179-1977","PHARMACOLOGY & PHARMACY","ESCI","326","0.6","Q4","0.16","12.77"%,
"Archives of Clinical Infectious Diseases","ARCH CLIN INFECT DIS","BRIEFLANDS","2345-2641","2008-1081","INFECTIOUS DISEASES","ESCI","337","0.6","Q4","0.13","97.87"%,
"HIV & AIDS Review","HIV AIDS REV","TERMEDIA PUBLISHING HOUSE LTD","1730-1270","1732-2707","INFECTIOUS DISEASES","ESCI","202","0.6","Q4","0.12","100"%,
"ACTA POLONIAE PHARMACEUTICA","ACTA POL PHARM","POLSKIE TOWARZYSTWO FARMACEUTYCZNE","0001-6837","2353-5288","PHARMACOLOGY & PHARMACY","SCIE","1,750","0.6","Q4","0.1","97.79"%,
"BIOPHARM INTERNATIONAL","BIOPHARM INT","ADVANSTAR COMMUNICATIONS INC","1542-166X","1939-1862","PHARMACOLOGY & PHARMACY","SCIE","202","0.6","Q4","0.02","0"%,
"Istanbul Journal of Pharmacy","ISTANB J PHARM","ISTANBUL UNIV, FAC PHARMACY","N/A","2587-2087","PHARMACOLOGY & PHARMACY","ESCI","309","0.5","Q4","0.13","97.04"%,
"Mediterranean Journal of Infection Microbes and Antimicrobials","MEDITERR J INFECT M","GALENOS PUBL HOUSE","2147-673X","2147-673X","INFECTIOUS DISEASES","ESCI","113","0.5","Q4","0.09","100"%,
"SA Pharmaceutical Journal","SA PHARM J","MEDPHARM PUBLICATIONS PTY LTD","2221-5875","2220-1017","PHARMACOLOGY & PHARMACY","ESCI","94","0.5","Q4","0.03","64.6"%,
"Pharmaceutical Care Espana","PHARM CARE ESP","FUNDACION PHARMACEUTICAL CARE ESPANA","1139-6202","1139-6202","PHARMACOLOGY & PHARMACY","ESCI","49","0.4","Q4","0.06","82.76"%,
"Revista Chilena de Infectologia","REV CHIL INFECTOL","SOC CHILENA INFECTOLOGIA","0716-1018","0717-6341","INFECTIOUS DISEASES","SCIE","674","0.4","Q4","0.06","77.53"%,
"YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN","YAKUGAKU ZASSHI","PHARMACEUTICAL SOC JAPAN","0031-6903","1347-5231","PHARMACOLOGY & PHARMACY","SCIE","1,345","0.4","Q4","0.06","96.02"%,
"US PHARMACIST","US PHARM","JOBSON PUBLISHING LLC","0148-4818","2331-3501","PHARMACOLOGY & PHARMACY","ESCI","314","0.4","Q4","0.04","0"%,
"Asian Journal of Pharmaceutics","ASIAN J PHARM","ASIAN JOURNAL PHARMACEUTICS","0973-8398","1998-409X","PHARMACOLOGY & PHARMACY","ESCI","649","0.3","Q4","0.07","22.53"%,
"Pharmacy & Pharmacology-Farmatsiya i Farmakologiya","PHARM PHARMACOL-RUSS","PYATIGORSKII MEDIKO-FARMATSEVTICHESKII INST","2307-9266","2413-2241","PHARMACOLOGY & PHARMACY","ESCI","79","0.3","Q4","0.07","98.9"%,
"Asian Journal of Pharmaceutical Research and Health Care","ASIAN J PHARM RES HE","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2250-1444","2250-1460","PHARMACOLOGY & PHARMACY","ESCI","128","0.3","Q4","0.06","100"%,
"GaBI Journal-Generics and Biosimilars Initiative Journal","GABI J","PRO PHARMA COMMUNICATIONS INT","2033-6403","2033-6772","PHARMACOLOGY & PHARMACY","ESCI","95","0.3","Q4","0.05","0"%,
"Infectio","INFECTIO-COLOMBIA","Colombian Assoc Infectology","0123-9392","2422-3794","INFECTIOUS DISEASES","ESCI","179","0.3","Q4","0.05","56.6"%,
"Journal of Pediatric Infectious Diseases","J PEDIAT INF DIS-GER","Necmettin Erbakan Univ, Fac Medicine-Neu Press","1305-7707","1305-7693","INFECTIOUS DISEASES","SCIE","159","0.2","Q4","0.08","6.47"%,
"Journal of Reports in Pharmaceutical Sciences","J REP PHARM SCI","BRIEFLANDS","2322-1232","2322-5106","PHARMACOLOGY & PHARMACY","ESCI","189","0.2","Q4","0.08","100"%,
"Infektsiya i Immunitet","INFEKTSIYA IMMUN","SANKT-PETERSBURG-NIIEM IMENI PASTERA","2220-7619","2313-7398","INFECTIOUS DISEASES","ESCI","197","0.2","Q4","0.07","96.68"%,
"INFECTIOUS DISEASES IN CLINICAL PRACTICE","INFECT DIS CLIN PRAC","LIPPINCOTT WILLIAMS & WILKINS","1056-9103","1536-9943","INFECTIOUS DISEASES","ESCI","380","0.2","Q4","0.05","3.72"%,
"Revista de Epidemiologia e Controle de Infeccao","REV EPIDEMIOL CONTRO","UNIV SANTA CRUZ DO SUL","2238-3360","2238-3360","INFECTIOUS DISEASES","ESCI","60","0.1","Q4","0.03","96.9"%,
"Actualites Pharmaceutiques","ACTUAL PHARMACEUT","ELSEVIER MASSON, CORP OFF","0515-3700","0515-3700","PHARMACOLOGY & PHARMACY","ESCI","82","0.1","Q4","0.02","2.61"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
