"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Antimicrobial Resistance and Infection Control","ANTIMICROB RESIST IN","BMC","2047-2994","2047-2994","INFECTIOUS DISEASES","SCIE","8,017","5.2","Q1","1.15","100"%,
"Journal of the International AIDS Society","J INT AIDS SOC","WILEY","N/A","1758-2652","INFECTIOUS DISEASES","SCIE","7,940","5.2","Q1","1","100"%,
"EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES","EUR J PHARM SCI","ELSEVIER","0928-0987","1879-0720","PHARMACOLOGY & PHARMACY","SCIE","18,948","5.1","Q1","1.34","100"%,
"Journal of Ethnobiology and Ethnomedicine","J ETHNOBIOL ETHNOMED","BMC","N/A","1746-4269","PHARMACOLOGY & PHARMACY","SCIE","5,368","5.1","Q1","1.23","100"%,
"AAPS PHARMSCITECH","AAPS PHARMSCITECH","SPRINGER","1530-9932","1530-9932","PHARMACOLOGY & PHARMACY","SCIE","14,229","5.1","Q1","1.03","20.6"%,
"ADMET and DMPK","ADMET DMPK","IAPC PUBLISHING","1848-7718","1848-7718","PHARMACOLOGY & PHARMACY","ESCI","1,067","5.1","Q1","0.98","99.35"%,
"EXPERT OPINION ON THERAPEUTIC TARGETS","EXPERT OPIN THER TAR","TAYLOR & FRANCIS LTD","1472-8222","1744-7631","PHARMACOLOGY & PHARMACY","SCIE","6,301","5.1","Q1","0.77","11.48"%,
"EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS","EUR J PHARM BIOPHARM","ELSEVIER","0939-6411","1873-3441","PHARMACOLOGY & PHARMACY","SCIE","20,068","5","Q1","1.27","34.91"%,
"International Journal of Antimicrobial Agents","INT J ANTIMICROB AG","ELSEVIER","0924-8579","1872-7913","INFECTIOUS DISEASES","SCIE","14,903","5","Q1","1.24","34.98"%,
"International Journal of Antimicrobial Agents","INT J ANTIMICROB AG","ELSEVIER","0924-8579","1872-7913","PHARMACOLOGY & PHARMACY","SCIE","14,903","5","Q1","1.24","34.98"%,
"One Health Advances","ONE HEALTH ADV","SPRINGERNATURE","N/A","2731-9970","INFECTIOUS DISEASES","ESCI","332","5","Q1","1.17","100"%,
"Psychedelic Medicine","PSYCHEDELIC MED","SAGE PUBLICATIONS INC","2831-4425","2831-4433","PHARMACOLOGY & PHARMACY","ESCI","277","5","Q1","1.01","7.5"%,
"Therapeutic Advances in Psychopharmacology","THER ADV PSYCHOPHARM","SAGE PUBLICATIONS LTD","2045-1253","2045-1261","PHARMACOLOGY & PHARMACY","SCIE","1,679","5","Q1","0.77","100"%,
"CLINICAL PHARMACOLOGY & THERAPEUTICS","CLIN PHARMACOL THER","WILEY","0009-9236","1532-6535","PHARMACOLOGY & PHARMACY","SCIE","20,886","4.9","Q1","1.24","53.38"%,
"MOLECULAR PHARMACEUTICS","MOL PHARMACEUT","AMER CHEMICAL SOC","1543-8384","1543-8392","PHARMACOLOGY & PHARMACY","SCIE","26,320","4.9","Q1","1.16","20.04"%,
"Biomolecules & Therapeutics","BIOMOL THER","KOREAN SOC APPLIED PHARMACOLOGY","1976-9148","2005-4483","PHARMACOLOGY & PHARMACY","SCIE","3,570","4.9","Q1","0.81","98.69"%,
"Journal of Infection and Public Health","J INFECT PUBLIC HEAL","ELSEVIER SCIENCE LONDON","1876-0341","1876-035X","INFECTIOUS DISEASES","SCIE","8,036","4.8","Q1","1.13","100"%,
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","INT J NEUROPSYCHOPH","OXFORD UNIV PRESS","1461-1457","1469-5111","PHARMACOLOGY & PHARMACY","SCIE","7,498","4.8","Q1","1.07","100"%,
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","PHARMACOLOGY & PHARMACY","SCIE","8,214","4.7","Q1","1.3","70.85"%,
"NEUROPHARMACOLOGY","NEUROPHARMACOLOGY","PERGAMON-ELSEVIER SCIENCE LTD","0028-3908","1873-7064","PHARMACOLOGY & PHARMACY","SCIE","24,274","4.7","Q1","1.29","30.46"%,
"Journal of Pharmaceutical Investigation","J PHARM INVEST","SPRINGERNATURE","2093-5552","2093-6214","PHARMACOLOGY & PHARMACY","SCIE","2,501","4.7","Q1","1.01","12.9"%,
"ADVANCES IN THERAPY","ADV THER","SPRINGER","0741-238X","1865-8652","PHARMACOLOGY & PHARMACY","SCIE","12,070","4.7","Q1","0.89","78.29"%,
"JOURNAL OF DRUG TARGETING","J DRUG TARGET","TAYLOR & FRANCIS LTD","1061-186X","1029-2330","PHARMACOLOGY & PHARMACY","SCIE","5,622","4.7","Q1","0.86","2.31"%,
"JOURNAL OF LIPOSOME RESEARCH","J LIPOSOME RES","TAYLOR & FRANCIS LTD","0898-2104","1532-2394","PHARMACOLOGY & PHARMACY","SCIE","2,274","4.7","Q1","0.82","4.07"%,
"Advanced Pharmaceutical Bulletin","ADV PHARM BULL","TABRIZ UNIV MEDICAL SCIENCES & HEALTH SERVICES","2228-5881","2251-7308","PHARMACOLOGY & PHARMACY","ESCI","4,203","4.7","Q1","0.81","100"%,
"Pharmaceutical Medicine","PHARM MED","SPRINGER INT PUBL AG","1178-2595","1179-1993","PHARMACOLOGY & PHARMACY","ESCI","914","4.7","Q1","0.75","49.14"%,
"EXPERT OPINION ON THERAPEUTIC PATENTS","EXPERT OPIN THER PAT","TAYLOR & FRANCIS LTD","1354-3776","1744-7674","PHARMACOLOGY & PHARMACY","SCIE","4,041","4.7","Q1","0.66","3.03"%,
