"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;MATHEMATICAL & COMPUTATIONAL BIOLOGY;STATISTICS & PROBABILITY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"STATISTICS AND COMPUTING","STAT COMPUT","SPRINGER","0960-3174","1573-1375","STATISTICS & PROBABILITY","SCIE","8,153","1.8","Q2","0.69","36.8"%,
"Scandinavian Actuarial Journal","SCAND ACTUAR J","TAYLOR & FRANCIS LTD","0346-1238","1651-2030","STATISTICS & PROBABILITY","SCIE","1,089","1.8","Q2","0.64","22.31"%,
"Current Bioinformatics","CURR BIOINFORM","BENTHAM SCIENCE PUBL LTD","1574-8936","2212-392X","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","957","1.8","Q3","0.56","7.14"%,
"ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES","ANN I H POINCARE-PR","INST MATHEMATICAL STATISTICS-IMS","0246-0203","N/A","STATISTICS & PROBABILITY","SCIE","2,295","1.7","Q2","0.83","3.02"%,
"Foundations of Data Science","FOUND DATA SCI","AMER INST MATHEMATICAL SCIENCES-AIMS","N/A","2639-8001","STATISTICS & PROBABILITY","ESCI","263","1.7","Q2","0.81","96.77"%,
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","STATISTICS & PROBABILITY","SCIE","1,180","1.7","Q2","0.66","55.34"%,
"ENVIRONMETRICS","ENVIRONMETRICS","WILEY","1180-4009","1099-095X","STATISTICS & PROBABILITY","SCIE","2,222","1.7","Q2","0.63","59.86"%,
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","ELSEVIER","0167-9473","1872-7352","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","10,827","1.7","Q4","0.55","29.86"%,
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","ELSEVIER","0167-9473","1872-7352","STATISTICS & PROBABILITY","SCIE","10,827","1.7","Q2","0.55","29.86"%,
"European Actuarial Journal","EUR ACTUAR J","SPRINGER HEIDELBERG","2190-9733","2190-9741","STATISTICS & PROBABILITY","ESCI","422","1.7","Q2","0.53","56.32"%,
"International Journal of Biomathematics","INT J BIOMATH","WORLD SCIENTIFIC PUBL CO PTE LTD","1793-5245","1793-7159","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,811","1.7","Q3","0.53","0.22"%,
"SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL","SIMUL-T SOC MOD SIM","SAGE PUBLICATIONS LTD","0037-5497","1741-3133","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,765","1.7","Q4","0.39","16.67"%,
"Journal of Algorithms & Computational Technology","J ALGORITHMS COMPUT","SAGE PUBLICATIONS LTD","1748-3018","1748-3026","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","327","1.7","Q4","0.35","100"%,
"Journal of Simulation","J SIMUL","TAYLOR & FRANCIS LTD","1747-7778","1747-7786","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","988","1.7","Q4","0.33","19.57"%,
"i-com-Zeitschrift fur interaktive und kooperative Medien","I-COM","WALTER DE GRUYTER GMBH","1618-162X","2196-6826","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","300","1.7","Q4","0.32","100"%,
"JOURNAL OF MULTIVARIATE ANALYSIS","J MULTIVARIATE ANAL","ELSEVIER INC","0047-259X","N/A","STATISTICS & PROBABILITY","SCIE","6,209","1.6","Q2","0.9","22.98"%,
"JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS","J COMPUT GRAPH STAT","TAYLOR & FRANCIS INC","1061-8600","1537-2715","STATISTICS & PROBABILITY","SCIE","6,995","1.6","Q2","0.83","14.25"%,
"AStA-Advances in Statistical Analysis","ASTA-ADV STAT ANAL","SPRINGER","1863-8171","1863-818X","STATISTICS & PROBABILITY","SCIE","632","1.6","Q2","0.73","64.56"%,
"BIOMETRICS","BIOMETRICS","OXFORD UNIV PRESS","0006-341X","1541-0420","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","26,917","1.6","Q3","0.57","30.86"%,
"BIOMETRICS","BIOMETRICS","OXFORD UNIV PRESS","0006-341X","1541-0420","STATISTICS & PROBABILITY","SCIE","26,917","1.6","Q2","0.57","30.86"%,
"Statistics in Biopharmaceutical Research","STAT BIOPHARM RES","TAYLOR & FRANCIS INC","1946-6315","1946-6315","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","800","1.6","Q3","0.57","9.76"%,
"Statistics in Biopharmaceutical Research","STAT BIOPHARM RES","TAYLOR & FRANCIS INC","1946-6315","1946-6315","STATISTICS & PROBABILITY","SCIE","800","1.6","Q2","0.57","9.76"%,
"FINANCE AND STOCHASTICS","FINANC STOCH","SPRINGER HEIDELBERG","0949-2984","1432-1122","STATISTICS & PROBABILITY","SCIE","1,423","1.6","Q2","0.53","53.49"%,
"Algorithms for Molecular Biology","ALGORITHM MOL BIOL","BMC","N/A","1748-7188","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","961","1.6","Q3","0.52","100"%,
"Journal of Integrative Bioinformatics","J INTEGR BIOINFORMAT","WALTER DE GRUYTER GMBH","N/A","1613-4516","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","447","1.6","Q3","0.45","100"%,
"SORT-Statistics and Operations Research Transactions","SORT-STAT OPER RES T","INST ESTADISTICA CATALUNYA-IDESCAT","1696-2281","2013-8830","STATISTICS & PROBABILITY","SCIE","271","1.6","Q2","0.4","0"%,
"Evolutionary Bioinformatics","EVOL BIOINFORM","SAGE PUBLICATIONS LTD","1176-9343","1176-9343","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,058","1.6","Q3","0.37","100"%,
"International Journal of Sustainable Agricultural Management and Informatics","INT J SUST AGR MANAG","INDERSCIENCE ENTERPRISES LTD","2054-5819","2054-5827","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","209","1.6","Q4","0.33","3.08"%,
"Metron-International Journal of Statistics","METRON","SPRINGER-VERLAG ITALIA SRL","0026-1424","2281-695X","STATISTICS & PROBABILITY","ESCI","600","1.5","Q2","0.78","40.35"%,
"Annals of Applied Statistics","ANN APPL STAT","INST MATHEMATICAL STATISTICS-IMS","1932-6157","1941-7330","STATISTICS & PROBABILITY","SCIE","5,256","1.5","Q2","0.77","2.88"%,
"Pakistan Journal of Statistics and Operation Research","PAK J STAT OPER RES","UNIV PUNJAB","1816-2711","2220-5810","STATISTICS & PROBABILITY","ESCI","759","1.5","Q2","0.66","98.37"%,
"STATISTICAL PAPERS","STAT PAP","SPRINGER","0932-5026","1613-9798","STATISTICS & PROBABILITY","SCIE","2,261","1.5","Q2","0.65","30.23"%,
"TEST","TEST-SPAIN","SPRINGER","1133-0686","1863-8260","STATISTICS & PROBABILITY","SCIE","2,195","1.5","Q2","0.65","34.09"%,
"Electronic Journal of Statistics","ELECTRON J STAT","INST MATHEMATICAL STATISTICS-IMS","1935-7524","1935-7524","STATISTICS & PROBABILITY","SCIE","3,222","1.5","Q2","0.63","100"%,
"Chilean Journal of Statistics","CHIL J STAT","SOC CHILENA ESTADISTICA-SOCHE","0718-7912","0718-7920","STATISTICS & PROBABILITY","ESCI","149","1.5","Q2","0.58","0"%,
"PHARMACEUTICAL STATISTICS","PHARM STAT","WILEY","1539-1604","1539-1612","STATISTICS & PROBABILITY","SCIE","2,695","1.5","Q2","0.52","26.85"%,
"LIFETIME DATA ANALYSIS","LIFETIME DATA ANAL","SPRINGER","1380-7870","1572-9249","STATISTICS & PROBABILITY","SCIE","1,160","1.5","Q2","0.5","24.47"%,
"APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","APPL STOCH MODEL BUS","WILEY","1524-1904","1526-4025","STATISTICS & PROBABILITY","SCIE","1,273","1.5","Q2","0.44","42.5"%,
"Acta Informatica Pragensia","ACTA INFORM PRAG","Prague Univ Economics and Business","N/A","1805-4951","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","141","1.5","Q4","0.42","100"%,
"Current Computer-Aided Drug Design","CURR COMPUT-AID DRUG","BENTHAM SCIENCE PUBL LTD","1573-4099","1875-6697","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,297","1.5","Q4","0.38","8.75"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","SPRINGERNATURE","2524-521X","2524-5228","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","354","1.5","Q4","0.37","8.24"%,
"International Journal of Online and Biomedical Engineering","INT J ONLINE BIOMED","Int Federation Engineering Education Societies-IFEES","N/A","2626-8493","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,095","1.5","Q4","0.29","99.8"%,
"JOURNAL OF NEW MUSIC RESEARCH","J NEW MUSIC RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0929-8215","1744-5027","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","674","1.4","Q4","1.67","35.71"%,
"LAW PROBABILITY & RISK","LAW PROBAB RISK","OXFORD UNIV PRESS","1470-8396","1470-840X","STATISTICS & PROBABILITY","SCIE","231","1.4","Q2","1.02","65.52"%,
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","EDP SCIENCES S A","0973-5348","1760-6101","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,051","1.4","Q4","0.78","100"%,
"STATISTICS","STATISTICS-ABINGDON","TAYLOR & FRANCIS LTD","0233-1888","1029-4910","STATISTICS & PROBABILITY","SCIE","1,262","1.4","Q2","0.71","3.21"%,
"ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","ASSOC COMPUTING MACHINERY","1049-3301","1558-1195","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","713","1.4","Q4","0.69","30.99"%,
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","J R STAT SOC C-APPL","OXFORD UNIV PRESS","0035-9254","1467-9876","STATISTICS & PROBABILITY","SCIE","5,224","1.4","Q2","0.69","43.4"%,
"OPEN SYSTEMS & INFORMATION DYNAMICS","OPEN SYST INF DYN","WORLD SCIENTIFIC PUBL CO PTE LTD","1230-1612","1793-7191","STATISTICS & PROBABILITY","SCIE","474","1.4","Q2","0.69","3.28"%,
"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS","ANN I STAT MATH","SPRINGER HEIDELBERG","0020-3157","1572-9052","STATISTICS & PROBABILITY","SCIE","2,032","1.4","Q2","0.47","0"%,
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","INT J MOD PHYS C","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-1831","1793-6586","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,759","1.4","Q4","0.42","2.06"%,
"CCF Transactions on High Performance Computing","CCF T HIGH PERFORM C","SPRINGERNATURE","2524-4922","2524-4930","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","339","1.4","Q4","0.4","13.93"%,
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0040-5809","1096-0325","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","3,743","1.4","Q4","0.38","56.03"%,
"JOURNAL OF COMPUTATIONAL NEUROSCIENCE","J COMPUT NEUROSCI","SPRINGER","0929-5313","1573-6873","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,737","1.4","Q4","0.37","42.42"%,
"Journal of Data Information and Management","J DATA INFO MANAG","SPRINGERNATURE","2524-6356","2524-6364","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","236","1.4","Q4","0.29","8.33"%,
"International Journal of Computational Science and Engineering","INT J COMPUT SCI ENG","INDERSCIENCE ENTERPRISES LTD","1742-7185","1742-7193","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,039","1.4","Q4","0.19","1.11"%,
"COMPUTATIONAL STATISTICS","COMPUTATION STAT","SPRINGER HEIDELBERG","0943-4062","1613-9658","STATISTICS & PROBABILITY","SCIE","2,589","1.3","Q2","0.69","23.77"%,
"Journal of Biopharmaceutical Statistics","J BIOPHARM STAT","TAYLOR & FRANCIS INC","1054-3406","1520-5711","STATISTICS & PROBABILITY","SCIE","1,845","1.3","Q2","0.59","4.09"%,
"Sankhya-Series B-Applied and Interdisciplinary Statistics","SANKHYA SER B","SPRINGER","0976-8386","0976-8394","STATISTICS & PROBABILITY","ESCI","440","1.3","Q2","0.53","15.31"%,
"Statistical Methods and Applications","STAT METHOD APPL-GER","SPRINGER HEIDELBERG","1618-2510","1613-981X","STATISTICS & PROBABILITY","SCIE","829","1.3","Q2","0.52","51.72"%,
"ACTA BIOTHEORETICA","ACTA BIOTHEOR","SPRINGER","0001-5342","1572-8358","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","715","1.3","Q4","0.47","27.59"%,
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","SAGE PUBLICATIONS INC","1066-5277","1557-8666","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,101","1.3","Q4","0.45","7.79"%,
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","SAGE PUBLICATIONS INC","1066-5277","1557-8666","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","5,101","1.3","Q4","0.45","7.79"%,
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","SAGE PUBLICATIONS INC","1066-5277","1557-8666","STATISTICS & PROBABILITY","SCIE","5,101","1.3","Q2","0.45","7.79"%,
"Computational and Mathematical Organization Theory","COMPUT MATH ORGAN TH","SPRINGER","1381-298X","1572-9346","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","552","1.3","Q4","0.42","38.46"%,
"JOURNAL OF BIOLOGICAL SYSTEMS","J BIOL SYST","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-3390","1793-6470","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","822","1.3","Q4","0.42","0.63"%,
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","TAYLOR & FRANCIS LTD","0094-9655","1563-5163","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,753","1.3","Q4","0.41","3.65"%,
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","TAYLOR & FRANCIS LTD","0094-9655","1563-5163","STATISTICS & PROBABILITY","SCIE","4,753","1.3","Q2","0.41","3.65"%,
"Sequential Analysis-Design Methods and Applications","SEQUENTIAL ANAL","TAYLOR & FRANCIS INC","0747-4946","1532-4176","STATISTICS & PROBABILITY","SCIE","425","1.3","Q2","0.39","3.85"%,
"REVSTAT-Statistical Journal","REVSTAT-STAT J","INST NACIONAL ESTATISTICA-INE","1645-6726","2183-0371","STATISTICS & PROBABILITY","SCIE","448","1.3","Q2","0.38","0"%,
"ACCESS-Access to science business innovation in the digital economy","ACCESS-ACCESS SCI BU","Access Press Publishing House","N/A","2683-1007","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","129","1.3","Q4","0.31","71.29"%,
"Journal of Advances in Information Technology","J ADV INFORM TECHNOL","ENGINEERING & TECHNOLOGY PUBLISHING","1798-2340","1798-2340","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","732","1.3","Q4","0.3","98.92"%,
"ACM Transactions on Economics and Computation","ACM T ECON COMPUT","ASSOC COMPUTING MACHINERY","2167-8375","2167-8383","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","435","1.3","Q4","0.2","48.84"%,
"International Journal of Gaming and Computer-Mediated Simulations","INT J GAMING COMPUT-","IGI GLOBAL","1942-3888","1942-3896","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","247","1.3","Q4","0.2","100"%,
"STATISTICA SINICA","STAT SINICA","STATISTICA SINICA","1017-0405","1996-8507","STATISTICS & PROBABILITY","SCIE","4,207","1.2","Q3","0.67","0"%,
"METRIKA","METRIKA","SPRINGER HEIDELBERG","0026-1335","1435-926X","STATISTICS & PROBABILITY","SCIE","1,087","1.2","Q3","0.6","25"%,
"Mathematical Population Studies","MATH POPUL STUD","TAYLOR & FRANCIS INC","0889-8480","1547-724X","STATISTICS & PROBABILITY","SCIE","263","1.2","Q3","0.58","0"%,
"STOCHASTIC PROCESSES AND THEIR APPLICATIONS","STOCH PROC APPL","ELSEVIER","0304-4149","1879-209X","STATISTICS & PROBABILITY","SCIE","6,692","1.2","Q3","0.58","34.19"%,
"SCANDINAVIAN JOURNAL OF STATISTICS","SCAND J STAT","WILEY","0303-6898","1467-9469","STATISTICS & PROBABILITY","SCIE","4,165","1.2","Q3","0.57","33.69"%,
"Modern Stochastics-Theory and Applications","MOD STOCH-THEORY APP","VTeX","2351-6054","2351-6054","STATISTICS & PROBABILITY","ESCI","153","1.2","Q3","0.54","100"%,
"Dependence Modeling","DEPEND MODEL","DE GRUYTER POLAND SP Z O O","2300-2298","2300-2298","STATISTICS & PROBABILITY","ESCI","224","1.2","Q3","0.44","100"%,
"JOURNAL OF TIME SERIES ANALYSIS","J TIME SER ANAL","WILEY","0143-9782","1467-9892","STATISTICS & PROBABILITY","SCIE","1,988","1.2","Q3","0.43","38.54"%,
"INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING","INT J RF MICROW C E","WILEY","1096-4290","1099-047X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,558","1.2","Q4","0.19","100"%,
"International Journal of Pervasive Computing and Communications","INT J PERVASIVE COMP","EMERALD GROUP PUBLISHING LTD","1742-7371","1742-738X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","238","1.2","Q4","0.18","0"%,
"Information Geometry","INFORM GEOM","SPRINGERNATURE","2511-2481","2511-249X","STATISTICS & PROBABILITY","ESCI","166","1.1","Q3","0.99","50"%,
"Hacettepe Journal of Mathematics and Statistics","HACET J MATH STAT","HACETTEPE UNIV, FAC SCI","N/A","2651-477X","STATISTICS & PROBABILITY","SCIE","1,494","1.1","Q3","0.73","95"%,
"Statistical Analysis and Data Mining-An Asa Data Science Journal","STAT ANAL DATA MIN","WILEY","1932-1864","1932-1872","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,023","1.1","Q4","0.6","38.36"%,
"Statistical Analysis and Data Mining-An Asa Data Science Journal","STAT ANAL DATA MIN","WILEY","1932-1864","1932-1872","STATISTICS & PROBABILITY","SCIE","1,023","1.1","Q3","0.6","38.36"%,
"ELECTRONIC JOURNAL OF PROBABILITY","ELECTRON J PROBAB","INST MATHEMATICAL STATISTICS-IMS","1083-6489","1083-6489","STATISTICS & PROBABILITY","SCIE","2,907","1.1","Q3","0.56","99.82"%,
"Journal of Reliability and Statistical Studies","J RELIAB STAT STUD","RIVER PUBLISHERS","0974-8024","2229-5666","STATISTICS & PROBABILITY","ESCI","212","1.1","Q3","0.52","98.33"%,
"METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY","METHODOL COMPUT APPL","SPRINGER","1387-5841","1573-7713","STATISTICS & PROBABILITY","SCIE","925","1.1","Q3","0.51","20.08"%,
"JOURNAL OF APPLIED STATISTICS","J APPL STAT","TAYLOR & FRANCIS LTD","0266-4763","1360-0532","STATISTICS & PROBABILITY","SCIE","4,612","1.1","Q3","0.5","6.39"%,
"Journal of Statistical Planning and Inference","J STAT PLAN INFER","ELSEVIER","0378-3758","1873-1171","STATISTICS & PROBABILITY","SCIE","4,735","1.1","Q3","0.48","17.14"%,
"JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS","J AGR BIOL ENVIR ST","SPRINGER","1085-7117","1537-2693","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,756","1.1","Q4","0.46","45.93"%,
"JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS","J AGR BIOL ENVIR ST","SPRINGER","1085-7117","1537-2693","STATISTICS & PROBABILITY","SCIE","1,756","1.1","Q3","0.46","45.93"%,
"Stats","STATS-BASEL","MDPI","N/A","2571-905X","STATISTICS & PROBABILITY","ESCI","507","1.1","Q3","0.44","100"%,
"R Journal","R J","R FOUNDATION STATISTICAL COMPUTING","2073-4859","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,157","1.1","Q4","0.29","25.77"%,
"R Journal","R J","R FOUNDATION STATISTICAL COMPUTING","2073-4859","N/A","STATISTICS & PROBABILITY","SCIE","8,157","1.1","Q3","0.29","25.77"%,
"PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES","PROBAB ENG INFORM SC","CAMBRIDGE UNIV PRESS","0269-9648","1469-8951","STATISTICS & PROBABILITY","SCIE","679","1.1","Q3","0.28","95"%,
"ADVANCES IN APPLIED PROBABILITY","ADV APPL PROBAB","CAMBRIDGE UNIV PRESS","0001-8678","1475-6064","STATISTICS & PROBABILITY","SCIE","2,050","1","Q3","0.62","28.85"%,
"STATISTICA NEERLANDICA","STAT NEERL","WILEY","0039-0402","1467-9574","STATISTICS & PROBABILITY","SCIE","953","1","Q3","0.5","34.74"%,
"Japanese Journal of Statistics and Data Science","JPN J STAT DATA SCI","SPRINGERNATURE","2520-8756","2520-8764","STATISTICS & PROBABILITY","ESCI","267","1","Q3","0.49","35.16"%,
"JOURNAL OF NONPARAMETRIC STATISTICS","J NONPARAMETR STAT","TAYLOR & FRANCIS LTD","1048-5252","1029-0311","STATISTICS & PROBABILITY","SCIE","1,263","1","Q3","0.46","6.36"%,
"Journal of Official Statistics","J OFF STAT","SAGE PUBLICATIONS INC","0282-423X","2001-7367","STATISTICS & PROBABILITY","SCIE","1,932","1","Q3","0.46","100"%,
"CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE","CAN J STAT","WILEY","0319-5724","1708-945X","STATISTICS & PROBABILITY","SCIE","1,485","1","Q3","0.44","37.61"%,
"Annals of Actuarial Science","ANN ACTUAR SCI","CAMBRIDGE UNIV PRESS","1748-4995","1748-5002","STATISTICS & PROBABILITY","ESCI","332","1","Q3","0.42","81.33"%,
"ESAIM-Probability and Statistics","ESAIM-PROBAB STAT","EDP SCIENCES S A","1292-8100","1262-3318","STATISTICS & PROBABILITY","SCIE","438","1","Q3","0.41","100"%,
"Thailand Statistician","THAIL STATIST","THAI STATISTICAL ASSOC","1685-9057","2351-0676","STATISTICS & PROBABILITY","ESCI","290","1","Q3","0.38","0"%,
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","STATISTICS & PROBABILITY","SCIE","2,888","1","Q3","0.34","14.74"%,
"COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING","COMPEL","EMERALD GROUP PUBLISHING LTD","0332-1649","0332-1649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","958","1","Q4","0.31","8.62"%,
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-2130","1793-6349","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","733","1","Q4","0.19","1.71"%,
"Journal of Information and Organizational Sciences","J INF ORGAN SCI","UNIV ZAGREB, FAC ORGANIZATION & INFORMATICS","1846-3312","1846-9418","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","169","1","Q4","0.14","100"%,
"Combinatorics Probability and Computing","COMB PROBAB COMPUT","CAMBRIDGE UNIV PRESS","0963-5483","1469-2163","STATISTICS & PROBABILITY","SCIE","1,539","0.9","Q3","0.47","54.81"%,
"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","COMMUN STAT-SIMUL C","TAYLOR & FRANCIS INC","0361-0918","1532-4141","STATISTICS & PROBABILITY","SCIE","5,493","0.9","Q3","0.41","2.78"%,
"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","COMMUN STAT-THEOR M","TAYLOR & FRANCIS INC","0361-0926","1532-415X","STATISTICS & PROBABILITY","SCIE","7,548","0.9","Q3","0.38","2.51"%,
"Communications for Statistical Applications and Methods","COMMUN STAT APPL MET","KOREAN STATISTICAL SOC","2287-7843","2383-4757","STATISTICS & PROBABILITY","ESCI","465","0.9","Q3","0.34","100"%,
"Random Matrices-Theory and Applications","RANDOM MATRICES-THEO","WORLD SCIENTIFIC PUBL CO PTE LTD","2010-3263","2010-3271","STATISTICS & PROBABILITY","SCIE","332","0.9","Q3","0.34","0"%,
"MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA","MATH MED BIOL","OXFORD UNIV PRESS","1477-8599","1477-8602","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","512","0.9","Q4","0.32","24.44"%,
"IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA","IEEE REV IBEROAM TEC","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1932-8540","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","435","0.9","Q4","0.2","7.75"%,
"International Journal of Data Mining and Bioinformatics","INT J DATA MIN BIOIN","INDERSCIENCE ENTERPRISES LTD","1748-5673","1748-5681","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","185","0.9","Q4","0.19","3.28"%,
"ACM SIGecom Exchanges","ACM SIGECOM EXCH","ASSOC COMPUTING MACHINERY","1551-9031","1551-9031","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","184","0.9","Q4","0.14","0"%,
"Stochastics-An International Journal of Probability and Stochastic Processes","STOCHASTICS","TAYLOR & FRANCIS LTD","1744-2508","1744-2516","STATISTICS & PROBABILITY","SCIE","978","0.8","Q3","0.51","11.18"%,
"STATISTICAL MODELLING","STAT MODEL","SAGE PUBLICATIONS LTD","1471-082X","1477-0342","STATISTICS & PROBABILITY","SCIE","976","0.8","Q3","0.47","33.33"%,
"Journal of Statistical Theory and Practice","J STAT THEORY PRACT","SPRINGER","1559-8608","1559-8616","STATISTICS & PROBABILITY","ESCI","662","0.8","Q3","0.44","21.97"%,
"Journal of Probability and Statistics","J PROBAB STAT","WILEY","1687-952X","1687-9538","STATISTICS & PROBABILITY","ESCI","313","0.8","Q3","0.43","100"%,
"JOURNAL OF COMBINATORIAL OPTIMIZATION","J COMB OPTIM","SPRINGER","1382-6905","1573-2886","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,841","0.8","Q4","0.41","10.36"%,
"Probability Uncertainty and Quantitative Risk","PROBAB UNCERTAIN QUA","AMER INST MATHEMATICAL SCIENCES-AIMS","2095-9672","2367-0126","STATISTICS & PROBABILITY","ESCI","156","0.8","Q3","0.39","97.3"%,
